Join Year,Organization,Title,Address,City,State,ZipPostal,CountryOverride,Locale,Phone,URL,Latitude,Longitude,PartnerTypes,NewUntil,Created,Updated
2015,Seafood Watch,Aquarium of Niagara,701 Whirlpool St,Niagara Falls,New York,14301,United States,null,(716) 285-3575,http://www.aquariumofniagara.org/,43.094309,-79.060119,Conservation Partner,7/3/15 0:00,2/3/15 11:25,8/17/15 15:48
2014,Seafood Watch,Aquarium of the Bay,"Pier 39, 2 Beach St",San Francisco,California,94133,United States,null,(415) 623-5300,https://bayecotarium.org/about/aquarium-of-the-bay/,37.808725,-122.409361,Conservation Partner,null,8/26/14 13:05,2/2/18 22:00
2018,Seafood Watch,Aquarius Restaurant,175 West Cliff Drive,Santa Cruz,California,95060,United States,null,831-460-5012,https://www.dreaminnsantacruz.com/santa-cruz-restaurants/aquarius,36.9618653,-122.0246976,Restaurant Partner,5/29/19 7:00,11/29/18 22:55,11/29/18 23:20
2015,Seafood Watch,Asilomar Conference Grounds,800 Asilomar Avenue,Pacific Grove,California,93950,United States,null,(832) 642-4263,http://www.visitasilomar.com,36.618968,-121.937755,Restaurant Partner,1/15/15 8:00,6/30/15 14:15,6/13/18 21:12
2014,Seafood Watch,Aramark Corporation,1101 Market St,Philadelphia,Pennsylvania,19107,United States,National,(800) 999-8989,http://www.aramark.com,39.952035,-75.158564,Business Partner,null,8/26/14 13:05,8/17/15 15:49
2014,Seafood Watch,Arizona Science Center,600 E. Washington St,Phoenix,Arizona,85004,United States,null,(602) 716-2000,http://www.azscience.org,33.448925,-112.067003,Conservation Partner,7/16/12 0:00,8/26/14 13:06,8/17/15 15:50
2014,Seafood Watch,Arizona-Sonora Desert Museum & Craft Culinary Concepts,2021 N. Kinney Rd,Tucson,Arizona,85743,United States,null,(520) 883-2702,http://www.desertmuseum.org/center/seafood.php,32.244014,-111.168109,Conservation Partner,12/6/17 8:00,8/26/14 13:06,6/11/18 22:35
2018,Seafood Watch,Arrowleaf Bistro,207 White Avenue,Winthrop,Washington,98862,United States,null,(509) 341-4917,http://www.arrowleafbistro.com/,48.472073,-120.179749,Restaurant Partner,7/8/18 7:00,1/8/18 19:27,2/2/18 22:00
2015,Seafood Watch,Artisan,843 12th Street,Paso Robles,California,93446,United States,null,(805) 237-8084,http://www.artisanpasorobles.com/,35.626992,-120.689171,Restaurant Partner,9/1/15 0:00,3/17/15 10:40,7/8/15 9:19
2017,Seafood Watch,Asana,null,San Francisco,California,null,United States,National,null,https://asana.com/,null,null,Business Partner,9/9/17 7:00,3/9/17 17:04,8/16/17 20:39
2014,Seafood Watch,Atlantic Sapphire,Langsand 34-6960,Hvide Sande,null,null,Denmark,International,-991,http://www.atlanticsapphire.com/,56.007056,8.136543,Industry Collaborator,null,11/7/14 16:28,1/21/19 18:15
2014,Seafood Watch,Austral Fisheries,"Level 4, 50 Oxford Close",West Leederville,null,6017,Australia,International,-9264,http://www.australfisheries.com.au/,-31.94114,115.841732,Industry Collaborator,4/19/14 7:00,8/26/14 13:06,1/21/19 18:15
2014,Seafood Watch,Australis Aquaculture,One Australia Way,Turner Falls,Massachusetts,1376,United States,null,(888) 602-2772,http://www.thebetterfish.com,42.591871,-72.529695,Industry Collaborator,null,8/26/14 13:05,1/21/19 18:15
2017,Seafood Watch,Axiote. Cocina de Mexico,"Calle 34 norte #128, Municipio de Solidaridad, Col.Gonzalo Guerrero, Gonzalo Guerrero","Playa del Carmen, Quintana Roo",null,77720,Mexico,null,null,https://www.axiote.rest/,20.632139,-87.069763,Restaurant Partner,4/16/18 7:00,10/16/17 21:32,11/30/17 19:26
2017,Seafood Watch,Baja Shellfish Farms,null,San Ysidro,California,92173,United States,null,null,https://www.bajashellfish.com/,null,null,Industry Collaborator,1/20/18 8:00,7/20/17 19:03,1/21/19 18:15
2015,Seafood Watch,Bamboo Sushi,1409 NE Alberta St.,Portland,Oregon,97211,United States,null,(503) 889-0336,http://bamboosushi.com/restaurant/ne,45.559224,-122.651343,Restaurant Partner,9/30/16 7:00,6/30/15 14:57,12/14/17 23:21
2015,Seafood Watch,Bamboo Sushi,836 NW 23rd Ave.,Portland,Oregon,97210,United States,null,(971) 229-1925,http://bamboosushi.com/restaurant/nw,45.530403,-122.699274,Restaurant Partner,1/1/14 8:00,6/30/15 14:57,2/5/18 22:22
2015,Seafood Watch,Bamboo Sushi,310 Southeast 28 Ave.,Portland,Oregon,97214,United States,null,(503) 232-5255,http://bamboosushi.com/restaurant/se,45.520756,-122.637255,Restaurant Partner,null,6/30/15 15:03,2/5/18 22:22
2015,Seafood Watch,Bamboo Sushi,404 SW 12th Ave.,Portland,Oregon,97205,United States,null,(503) 444-7455,http://bamboosushi.com/restaurant/sw,45.522416,-122.682935,Restaurant Partner,9/30/16 7:00,6/30/15 14:57,2/5/18 22:22
2016,Seafood Watch,Bamboo Sushi,3200 Pecos Street,Denver,Colorado,80211,United States,null,null,http://bamboosushi.com/restaurant/2715-17th-st,39.762175,-105.006,Restaurant Partner,2/19/17 8:00,8/19/16 10:18,2/5/18 22:22
2015,Seafood Watch,Bar Sardine,183 West 10th Street,New York,New York,10014,United States,null,(646) 360-3705,http://www.barsardinenyc.com/,40.734392,-74.00269,Restaurant Partner,2/28/16 0:00,8/28/15 9:11,2/5/18 22:22
2016,Seafood Watch,Barrel House Tavern,660 Bridgeway,Sausalito,California,94965,United States,null,(415) 729-9593,http://barrelhousetavern.com/,37.855198,-122.478851,Restaurant Partner,2/18/17 0:00,8/18/16 13:38,2/5/18 22:22
2015,Seafood Watch,Basil Seasonal Dining,San Carlos Ave,Carmel,California,93923,United States,null,(831) 626-8226,http://www.basilcarmel.com,36.556979,-121.922608,Restaurant Partner,7/9/13 0:00,6/30/15 15:03,2/5/18 22:22
2015,Seafood Watch,Basta,3601 Arapahoe Ave.,Boulder,Colorado,80303,United States,null,(303) 997-8775,https://www.bastaboulder.com/#front,40.015429,-105.247567,Restaurant Partner,4/13/16 7:00,10/15/15 11:44,2/5/18 22:22
2017,Seafood Watch,Bergen County Zoological Park,216 Forest Ave.,Paramus,New Jersey,7652,United States,null,(201) 262-3771,https://www.co.bergen.nj.us/attractions/about-bergen-county-zoo,40.934002,-74.047546,Conservation Partner,1/27/18 8:00,7/27/17 23:56,8/30/18 19:12
2014,Seafood Watch,Bermuda Underwater Exploration Institute,40 Crow Lane,Pembroke,null,HM 19,Bermuda,International,+1-(441) 292-7219,http://www.bermuda-attractions.com/bermuda_000033.htm,32.293892,-64.773516,Conservation Partner,null,8/26/14 13:06,2/5/18 22:22
2017,Seafood Watch,Big Wave Cafe,822 Laneda Avenue,Manzanita,Oregon,97130,United States,National,(503) 368-9283,http://oregonsbigwavecafe.com/,45.719,-123.928,Restaurant Partner,10/6/17 7:00,4/6/17 15:10,2/5/18 22:22
2014,Seafood Watch,"Bionic Zoo & Aquarium, Inc.",95 NW 13th Ave.,Pompano Beach,Florida,33069,United States,null,(954) 941-4665,http://www.bionicbait.com/bionic-zoo-aquarium/,26.235641,-80.142423,Industry Collaborator,6/5/14 0:00,8/26/14 13:06,1/21/19 18:15
2014,Seafood Watch,Biosphere 2 (The Univ. of Arizona),"UA College of Science, University of Arizona, 32540 S. Biosphere Road",Oracle,Arizona,85623,United States,null,(520) 838-6200,http://www.b2science.org,32.578673,-110.851363,Conservation Partner,2/28/14 0:00,8/26/14 13:06,2/5/18 22:22
2014,Seafood Watch,Birch Aquarium at Scripps,2300 Expedition Way,La Jolla,California,92307,United States,null,(858) 822-5331,http://www.aquarium.ucsd.edu/,32.865971,-117.250665,Conservation Partner,null,8/26/14 13:05,2/5/18 22:22
2014,Seafood Watch,Birmingham Zoo,2630 Cahaba Road,Birmingham,Alabama,35223,United States,null,(205) 879-0409,http://www.birminghamzoo.com,33.486838,-86.779639,Conservation Partner,null,8/26/14 13:06,2/5/18 22:22
2016,Seafood Watch,Bistro Boudin,160 Jefferson Street,San Francisco,California,94133,United States,null,(415) 351-5561,http://www.bistroboudin.com/,37.808489,-122.414995,Restaurant Partner,null,7/6/16 11:35,2/5/18 22:22
2014,Seafood Watch,Blank Park Zoo,7401 SW 9th Street,Des Moines,Iowa,50315,United States,null,(515) 974-2612,http://www.blankparkzoo.com,41.519784,-93.624823,Conservation Partner,null,8/26/14 13:06,2/5/18 22:22
2016,Seafood Watch,Blue Apron,null,New York,New York,null,United States,null,null,https://www.blueapron.com/,null,null,Business Partner,7/1/16 7:00,2/5/16 13:38,2/5/18 22:22
2014,Seafood Watch,Blue Circle Foods,"2109 R. Street, NW",Washington,District of Columbia,20008,United States,null,(810) 334-9979,http://www.bluecirclefoods.com,38.912663,-77.047158,Industry Collaborator,5/15/14 0:00,8/26/14 13:06,1/21/19 18:15
2018,Seafood Watch,Blue Endeavors,2219-A Southshore Center #215,Alameda,California,94501,United States,null,(510) 871-0172,http://www.blue-endeavors.org,37.757376,-122.25142,Conservation Partner,10/9/18 7:00,5/23/18 16:47,6/13/18 21:36
2017,Seafood Watch,Blue Evolution,null,San Mateo,California,94402,United States,null,(650) 741-4074,https://www.blueevolution.com/company/,null,null,Business Partner,6/6/17 7:00,12/6/17 23:30,6/13/18 21:36
2014,Seafood Watch,Blue North Fisheries,2930 Westlake Ave N,Seattle,Washington,98109,United States,null,(206)352-9252,http://www.bluenorthfisheries.com,47.64667,-122.349039,Industry Collaborator,9/13/14 0:00,8/26/14 13:06,1/21/19 18:15
2017,Seafood Watch,Blue Ocean Mariculture,73-4375 Likai Place,Kailua-Kona,Hawaii,96740,United States,null,(808) 331-8222,http://www.bofish.com/,19.722278,-156.055807,Industry Collaborator,8/4/17 7:00,8/4/17 16:32,1/21/19 18:15
2015,Seafood Watch,Blue Ribbon Meats,3316 West 67th Place,Cleveland,Ohio,44102,United States,null,(216) 631-8850,http://blueribbonmeats.com/,41.464375,-81.734381,Industry Collaborator,6/16/16 0:00,12/17/15 11:00,1/21/19 18:15
2016,Seafood Watch,Blue Window (LAX),Los Angeles Airport (LAX) Terminal 3,Los Angeles,California,90045,United States,null,null,http://bluewindowla.com/,33.946,-118.407,Restaurant Partner,4/11/17 7:00,10/11/16 14:15,2/5/18 22:22
2016,Seafood Watch,Blue Window Dumplings (Huntington Gardens),1151 Oxford Road,San Marino,California,91108,United States,null,null,http://bluewindowla.com/,34.129,-118.115,Restaurant Partner,7/17/17 7:00,10/11/16 14:15,2/5/18 22:22
2016,Seafood Watch,Blue Window Sushi (Huntington Gardens),1151 Oxford Road,San Marino,California,91108,United States,null,null,http://bluewindowla.com/,34.129,-118.115,Restaurant Partner,7/17/17 7:00,10/11/16 14:15,2/5/18 22:22
2017,Seafood Watch,Blueyou,Zentralstrasse 156,Zurich,null,8003,Switzerland,International,+41 43 333 13 50 ,http://www.blueyou.com/,null,null,Industry Collaborator,null,2/7/17 2:40,1/21/19 18:15
2014,Seafood Watch,Boise Co-op (Meridian Village),2350 N. Eagle Road,Meridian,Idaho,83646,United States,null,(208) 809-2200,http://www.boise.coop/our-stores,43.626189,-116.354332,Business Partner,4/29/16 0:00,8/26/14 13:05,2/5/18 22:22
2014,Seafood Watch,Boise Co-op (Natural Foods),888 W Fort St,Boise,Idaho,83702,United States,null,(208) 472-4500,http://www.boisecoop.com,43.622341,-116.198295,Business Partner,3/6/14 0:00,8/26/14 13:05,2/5/18 22:22
2015,Seafood Watch,Bon Appétit Management Company,"100 Hamilton Avenue, Suite 400",Palo Alto,California,94301,United States,National,(650) 798-8065,http://www.bamco.com,37.442526,-122.162086,Business Partner,null,6/30/15 16:41,2/5/18 22:22
2017,Seafood Watch,Bondi Sushi,6 West 28th Street,New York,New York,10010,United States,null,null,http://www.bondisushi.com,40.745858,-73.988232,Restaurant Partner,8/2/17 7:00,8/2/17 22:50,2/5/18 22:22
2017,Seafood Watch,Bouquet Restaurant,519 Main Street,Covington,Kentucky,41011,United States,null,(859) 491-7777,http://www.bouquetrestaurant.com/,39.084751,-84.517624,Restaurant Partner,3/14/18 7:00,9/14/17 20:16,2/5/18 22:22
2015,Seafood Watch,breakthrough sushi,237 Kearny Street #344,San Francisco,California,94108,United States,null,(415) 373-1023,http://www.breakthroughsushi.com/,37.790324,-122.404201,Business Partner,4/30/15 0:00,1/30/15 10:56,2/5/18 22:22
2014,Seafood Watch,Brevard Zoo,8225 North Wickham Road,Melbourne,Florida,32940,United States,null,(321) 254-9453,http://brevardzoo.org,28.224993,-80.713881,Conservation Partner,10/31/14 0:00,8/26/14 13:06,2/5/18 22:22
2016,Seafood Watch,Border Grill,445 S Figueroa St,Los Angeles,California,90017-5704,United States,null,(213) 486-5171,http://www.bordergrill.com/bg_dtla/bg_dtlawel.htm,34.051811,-118.258235,Restaurant Partner,null,7/6/16 15:56,7/12/17 23:12
2017,Seafood Watch,Border Grill,1151 Oxford Road,San Marino,California,91108,United States,null,null,http://www.bordergrill.com,34.12841,-118.11441,Restaurant Partner,null,7/12/17 23:14,7/14/17 16:26
2017,Seafood Watch,Border Grill,"Tom Bradley Terminal, 380 World Way",Los Angeles,California,90045,United States,null,null,http://www.bordergrill.com,33.945705,-118.391106,Restaurant Partner,null,7/12/17 23:21,7/14/17 22:06
2015,Seafood Watch,Border Grill,3950 Las Vegas Blvd. South,Las Vegas,Nevada,89119,United States,null,(702) 632-7403,http://www.bordergrill.com/locations/las-vegas/bglvmb/,36.09001,-115.175213,Restaurant Partner,null,1/29/15 15:17,7/12/17 23:13
2014,Seafood Watch,"Bruckner Chase Ocean Positive, Inc.","1131 Simpson Avenue, 2nd Floor",Ocean City,New Jersey,8226,United States,null,(831) 345-9550,http://www.brucknerchase.com/,39.277679,-74.582027,Conservation Partner,null,8/26/14 13:06,2/5/18 22:22
2016,Seafood Watch,Butterfly Pavilion,6252 W 104th Ave,Westminster,Colorado,80020,United States,null,(303) 469-5441,https://www.butterflies.org/,39.887086,-105.066476,Conservation Partner,12/24/16 8:00,6/24/16 10:22,2/5/18 22:22
2017,Seafood Watch,Border Grill,1151 Oxford Road,San Marino,California,91108,United States,null,null,http://www.bordergrill.com,34.12874,-118.1144,Restaurant Partner,null,7/12/17 23:19,7/12/17 23:21
2014,Seafood Watch,Border Grill,1445 4th St.,Santa Monica,California,90401,United States,null,310.451.1655,http://www.bordergrill.com/bg_t/bg_twel.htm,34.015468,-118.494061,Restaurant Partner,null,8/26/14 13:05,7/12/17 23:13
2014,Seafood Watch,Brown Bag Seafood Company,340 East Randolph,Chicago,Illinois,60601,United States,null,(312) 496-3999,https://www.brownbagseafood.com/,41.884821,-87.618826,Restaurant Partner,10/10/14 7:00,8/26/14 20:06,4/4/18 20:01
2018,Seafood Watch,Brown Bag Seafood Company,340 East Randolph,Chicago,Illinois,60601,United States,National,3124963999,https://www.brownbagseafood.com/,41.884799,-87.618836,Restaurant Partner,10/10/18 7:00,4/10/18 18:09,12/13/18 17:07
2018,Seafood Watch,Brown Bag Seafood Company,3400 N Lincoln Ave,Chicago,Illinois,60657,United States,National,7736978306,https://www.brownbagseafood.com/,41.943414,-87.671464,Restaurant Partner,10/10/18 7:00,4/10/18 18:06,6/13/18 21:36
2018,Seafood Watch,Brown Bag Seafood Company,125 South Park,Chicago,Illinois,60603,United States,National,7737706173,https://www.brownbagseafood.com/,41.879769,-87.630331,Restaurant Partner,10/10/18 7:00,4/10/18 18:12,6/13/18 21:36
2018,Seafood Watch,California Fish Grill,5675 E. La Palma Ave,Anaheim Hills,California,92807,United States,null,(714) 777-5710,https://www.cafishgrill.com,33.86064,-117.79106,Restaurant Partner,9/30/18 7:00,3/30/18 19:57,10/12/18 17:06
2018,Seafood Watch,California Fish Grill,419 S. Associated Rd,Brea,California,92821,United States,null,(714) 482-2152,https://www.cafishgrill.com,33.912089,-117.881004,Restaurant Partner,9/30/18 7:00,3/30/18 20:00,10/12/18 17:06
2014,Seafood Watch,Cabrillo Marine Aquarium,3720 Stephen M. White Drive,San Pedro,California,90731,United States,null,(310) 548-7562,http://www.cabrillomarineaquarium.org/,33.711322,-118.285595,Conservation Partner,null,8/26/14 13:05,8/1/18 23:50
2018,Seafood Watch,Canyon Grille Rough Hollow,103 Yacht Club Cove,Lakeway,Texas,78734,United States,null,(512) 261-3444,http://www.canyongrilleroughhollow.com/,30.365736,-98.009941,Restaurant Partner,null,7/23/18 18:30,7/23/18 18:32
2017,Seafood Watch,Carelian Caviar,"The Allure, 200 W. Sahara Ave",Las Vegas,Nevada,null,United States,null,null,http://www.careliancaviar.com/,36.144047,-115.159012,Industry Collaborator,4/9/18 7:00,10/9/17 18:52,1/21/19 18:15
2017,Seafood Watch,Casa Figueroa,6112 Montgomery Road,Pleasant Ridge,Ohio,45213,United States,null,(513) 631-3333,http://www.casafig.com/,39.18222,-84.426476,Restaurant Partner,5/14/18 7:00,11/14/17 20:09,11/14/17 20:13
2018,Seafood Watch,Charles Paddock Zoo,9305 Pismo Avenue,Atascadero,California,93422,United States,National,(805) 461-5080,http://www.charlespaddockzoo.org,35.4662414,-120.6703686,Conservation Partner,9/30/18 9:30,4/3/18 23:25,6/13/18 21:36
2017,Seafood Watch,Chileno Bay - Comal,Carr Transpeninsular km15,"Chileno Bay, Cabo San Lucas, BCS",null,23410,Mexico,null,(844) 207-9354,https://chilenobay.aubergeresorts.com/dining/comal/,22.89986,-109.89909,Restaurant Partner,5/8/18 7:00,11/8/17 22:22,3/14/18 21:19
2017,Seafood Watch,Clos Restaurante,"Rua Professor Dorival Dias Minhoto, 333 apt 131",Sao Paulo,null,null,Brazil,International,(212) 932-2300,http://www.closrestaurante.com.br/,-23.591936,-46.670376,Restaurant Partner,3/5/18 8:00,9/5/17 18:53,9/5/17 19:03
2017,Seafood Watch,Colectivo Felix,null,Santa Cruz,California,95062,United States,null,null,http://colectivofelix.com/,null,null,Restaurant Partner,4/9/18 7:00,10/9/17 20:37,10/10/17 20:43
2015,Seafood Watch,Cafe Del Rey,4451 Admiralty Way,Marina Del Rey,California,90292,United States,null,(310) 823-6395,http://cafedelreymarina.com/,33.983536,-118.446981,Restaurant Partner,4/26/16 0:00,10/26/15 14:21,7/18/17 16:48
2016,Seafood Watch,Café Fina,47 Fishermans Wharf # 1,Monterey,California,93940-2432,United States,null,(831) 372-5200,http://www.cafefina.com,36.604003,-121.89311,Restaurant Partner,null,3/10/16 8:37,7/18/17 16:48
2015,Seafood Watch,Café Mare,"740 Front St., #100",Santa Cruz,California,95060,United States,null,(831) 458-1212,http://www.cafemare.com,36.975288,-122.025268,Restaurant Partner,null,7/1/15 9:48,7/18/17 16:48
2017,Seafood Watch,Cal Dining - Berkeley,2610 Channing Way,Berkeley,California,94709,United States,null,(510) 643-1220,http://caldining.berkeley.edu/,37.867,-122.255,Restaurant Partner,8/21/17 7:00,2/23/17 0:08,7/18/17 16:48
2014,Seafood Watch,California Academy of Sciences,"Golden Gate Park, 55 Music Concourse Drive",San Francisco,California,94118,United States,null,(415) 379-8000,http://www.calacademy.org/,37.769879,-122.46613,Conservation Partner,null,8/26/14 13:05,7/18/17 16:48
2018,Seafood Watch,California Fish Grill,11421 South Street,Cerritos,California,90703,United States,null,(562) 865-0066,https://www.cafishgrill.com,33.859622,-118.090458,Restaurant Partner,9/30/18 7:00,3/30/18 20:03,10/12/18 17:07
2014,Seafood Watch,California Science Center,700 Exposition Park Drive,Los Angeles,California,90037,United States,null,(323) 724-3623,http://www.californiasciencecenter.org/,34.015526,-118.28588,Conservation Partner,null,8/26/14 13:05,7/18/17 16:48
2014,Seafood Watch,Canadian Sablefish Association,"12820 Trites Road, Unit 24B",Richmond - British Columbia,null,V7E 3R8,Canada,International,6043287835,http://www.canadiansablefish.com/,49.119852,-123.164624,Industry Collaborator,9/3/14 0:00,8/26/14 13:06,1/21/19 18:15
2014,Seafood Watch,Cannery Row Brewing Company,95 Prescott Ave,Monterey,California,93940,United States,null,(831) 643-2722,http://www.canneryrowbrewingcompany.com/,36.6158,-121.900843,Restaurant Partner,3/31/15 7:00,9/25/14 8:42,1/31/19 18:49
2018,Seafood Watch,California Fish Grill,6150 Slauson Ave. Suite 107,Culver City,California,90230,United States,null,(310) 586-3242,https://www.cafishgrill.com,33.988305,-118.392743,Restaurant Partner,9/30/18 7:00,3/30/18 20:05,10/12/18 17:07
2018,Seafood Watch,California Fish Grill,10569 Valley View St.,Cypress,California,90630,United States,null,(714) 252-0001,https://www.cafishgrill.com/,33.809317,-118.028597,Restaurant Partner,9/30/18 7:00,3/30/18 20:16,10/12/18 17:07
2016,Seafood Watch,Cape Seafood & Provisions,"801 N. Fairfax Ave., Ste 105",Los Angeles,California,90046,United States,null,(323) 556-2525,http://www.cape-seafood.com,34.085658,-118.361679,Business Partner,9/22/16 0:00,3/25/16 14:39,7/18/17 16:48
2014,Seafood Watch,Carmo,527 Julia St,New Orleans,Louisiana,70130,United States,null,(504) 875-4132,http://www.cafecarmo.com/,29.945536,-90.069637,Restaurant Partner,11/20/14 0:00,8/26/14 13:05,7/18/17 16:48
2015,Seafood Watch,Cart-Driver,2500 Larimer St,Denver,Colorado,80205,United States,null,(303) 292-3553,http://cart-driver.com/,39.757645,-104.986126,Restaurant Partner,4/13/16 0:00,10/15/15 13:47,7/18/17 16:48
2015,Seafood Watch,Cat Cora's Kitchen,San Francisco Airport Terminal 2,San Francisco,California,94128,United States,null,(650) 821-9288,http://catcora.com/restaurants/,37.617707,-122.381185,Restaurant Partner,10/13/15 0:00,4/13/15 16:29,7/18/17 16:48
2017,Seafood Watch,Catalina Offshore Products,5202 Lovelock St.,San Diego,California,92110,United States,National,(619) 297-9797,http://catalinaop.com/,32.766,-117.203,Industry Collaborator,9/3/17 7:00,3/3/17 21:57,1/21/19 18:15
2014,Seafood Watch,Catanese Classic Seafood,1979 West 25th St,Cleveland,Ohio,44113,United States,null,(216) 696-0080,http://www.classicseafoodatmarket.com/,41.484718,-81.703083,Industry Collaborator,7/28/14 0:00,8/26/14 13:05,1/21/19 18:15
2016,Seafood Watch,Chateau Faire Le Pont,1 Vineyard Way,Wenatchee,Washington,98801,United States,null,(509) 667-9463,http://fairelepont.com/,47.464,-120.328,Restaurant Partner,3/2/17 8:00,9/2/16 13:17,6/13/18 21:00
2016,Seafood Watch,Chehaw,105 Chehaw Park Rd,Albany,Georgia,31701,United States,null,(229) 430-5275,http://www.chehaw.org,31.62,-84.139,Conservation Partner,3/21/17 0:00,9/21/16 10:23,7/18/17 16:48
2017,Seafood Watch,Children's Zoo at Celebration Square,1730 S Washington Ave,Saginaw,Michigan,49601,United States,null,(989) 759-1408,http://www.saginawzoo.com/,43.412,-83.954,Conservation Partner,null,3/27/17 18:31,7/18/17 16:48
2015,Seafood Watch,Cincinnati Zoo & Botanical Garden,3400 Vine Street,Cincinnati,Ohio,45220,United States,null,(513) 281-4700,http://cincinnatizoo.org/,39.144557,-84.50867,Conservation Partner,4/15/16 0:00,10/21/15 11:37,7/18/17 16:48
2017,Seafood Watch,Clear Springs Foods,null,Buhl,Idaho,83316,United States,National,(208) 543-4316,http://www.clearsprings.com/,42.674216,-114.781662,Industry Collaborator,10/27/17 7:00,5/1/17 16:15,1/21/19 18:15
2014,Seafood Watch,Cleveland Metroparks Zoo,3900 Wildlife Way,Cleveland,Ohio,44109,United States,null,(216) 661-6500,http://www.clemetzoo.com,41.445561,-81.708009,Conservation Partner,null,8/26/14 13:06,7/18/17 16:48
2014,Seafood Watch,Coho Restaurant,120 Nichols Street,Friday Harbor,Washington,98250,United States,null,(360) 378-6330,http://www.cohorestaurant.com/,48.533643,-123.015976,Restaurant Partner,10/22/14 0:00,8/26/14 13:05,7/18/17 16:48
2014,Seafood Watch,Columbus Zoo and Aquarium,4850 Powell Rd,Powell,Ohio,43065,United States,null,(614) 645-3400,http://www.columbuszoo.org,40.156203,-83.118348,Conservation Partner,null,8/26/14 13:06,7/18/17 16:48
2015,Seafood Watch,Community Food Co-op,405 E Holly St,Bellingham,Washington,98226,United States,null,(360) 734-8158,http://www.communityfood.coop/,48.747398,-122.476181,Business Partner,5/6/16 0:00,11/12/15 9:56,7/18/17 16:48
