,Name,Address,City,State,Zip,PhoneNum,website,rating
30,Goldman Sachs 200 West Cafe,200 West Street,New York,NY,10282,917-343-9914,,3 Star Certified Green Restaurant
31,Coffee Labs Roasters,7 Main Street,Tarrytown,NY,10591,914-332-1479,http://www.coffeelabs.com/CoffeeLabsRoasters/Home.html,3 Star Certified Green Restaurant
32,Camille's Sidewalk Cafe,123 Main St,White Plains,NY,10601,914-288-9727,http://camillescafe.com,3 Star Certified Green Restaurant
33,Juice Generation,979 8th Avenue ,New York,NY,10028,212-767-0309,http://www.juicegeneration.com,2 Star Certified Green Restaurant
34,Avenues: The World School,259 10th Avenue ,New York,NY,10001,212-524-9000,http://www.avenues.org/,2 Star Certified Green Restaurant
35,Trinity School,139 West 91st Street,New York,NY,10024,212-873-1650,www.trinityschoolnyc.org,3 Star Certified Green Restaurant
36,Friends Academy,270 Duck Pond Road,Locust Valley,NY,11560,516-676-0393,http://www.fa.org/,2 Star Certified Green Restaurant
37,Juice Generation,2345 Broadway,New York,NY,10024,212-799-0920,www.juicegeneration.com ,2 Star Certified Green Restaurant
38,Santina,820 Washington Street,New York,NY,10014,212-254-3000,http://www.santinanyc.com/,2 Star Certified Green Restaurant
39,Juice Generation,109 East 23rd Street,New York,NY,10010,212-420-9700,www.juicegeneration.com ,2 Star Certified Green Restaurant
40,Juice Generation,122 East 42nd Street,New York,NY,10017,212-420-9700,http://www.juicegeneration.com/,2 Star Certified Green Restaurant
41,Juice Generation,210 Bedford Avenue,New York,NY,11249,212-420-9700,http://www.juicegeneration.com/,2 Star Certified Green Restaurant
42,The Marshal,628 10th Avenue,New York,NY,10036,212-582-6300,www.the-marshal.com,3 Star Certified Green Restaurant
43,The New School Dining Commons at the University Center,65 5th Avenue,New York,NY,10011,212-229-5600,http://www.dineoncampus.com/newschooldining/,3 Star Certified Green Restaurant
44,Via Carota,51 Grove St,New York,NY,10014,212-255-1962,www.viacarota.com,2 Star Certified Green Restaurant
45,Buvette,42 Grove St,New York,NY,10014,212-255-3590,http://www.ilovebuvette.com/,2 Star Certified Green Restaurant
46,Bloomberg Cafeteria,155 Corporate Drive,Orangeburg,NY,10962,845-761-1929,,2 Star Certified Green Restaurant
47,Juice Generation,101 Maiden Ln,New York,NY,10038,646-882-4330,http://www.juicegeneration.com/,3 Star Certified Green Restaurant
48,Juice Generation,28 East 18th St.,New York,NY,11249,646-882-4299,http://www.juicegeneration.com/,3 Star Certified Green Restaurant
49,Noz Catering,97 Saint Marks Place,New York,NY,10009,646-228-4992,http://www.nozcatering.com/,2 Star Certified Green Restaurant
50,Juice Generation,599 Lexington Avenue,New York,NY,11249,646-882-4299,http://www.juicegeneration.com/,3 Star Certified Green Restaurant
51,Good Choice Kitchen,147 Main Street,Ossining,NY,10562,914-930-1591,www.goodchoicekitchen.com,4 Star Certified Green Restaurant
52,Osteria Leana,76 South Street,Oyster Bay,NY,11771,516-584-6995,http://www.osterialeana.com/,1 Star Certified Green Restaurant
53,Aroogas 1 West Main,1 West Main Street,Patchogue,NY,11772,888-882-9464,http://www.aroogas.com/Main-Street-Patchogue,1 Star Certified Green Restaurant
54,Lenfest Cafe at Columbia University,"435 W 116th Street, 3rd floor",New York,NY,10027,212-854-4609,http://dining.columbia.edu/,1 Star Certified Green Restaurant
55,Uris Deli at Columbia University,3022 Broadway,New York,NY,10027,212-854-4609,http://dining.columbia.edu/,1 Star Certified Green Restaurant
56,Blue Java Coffee Bar Butler Library at Columbia University,535 W 114th Street,New York,NY,10027,212-854-4609,http://dining.columbia.edu/,1 Star Certified Green Restaurant
57,Cafe 212 at Columbia University,"2920 Broadway, 2nd floor Campus Level",New York,NY,10027,212-854-4609,http://dining.columbia.edu/,1 Star Certified Green Restaurant
58,John Jay Dining Hall at Columbia University,515 W 114th Street,New York,NY,10027,212-854-4609,http://dining.columbia.edu/,1 Star Certified Green Restaurant
59,Ferris Booth at Columbia University,"2920 Broadway, 3rd floor",New York,NY,10027,212-854-4609,http://dining.columbia.edu/,1 Star Certified Green Restaurant
60,Blue Java Cafe Mudd Hall at Columbia University,"500 W 120th Street, 4th Floor",New York,NY,10027,212-854-4609,http://dining.columbia.edu/,1 Star Certified Green Restaurant
61,JJ's Place at Columbia University,"515 W 114th Street, Lower Level",New York,NY,10027,212-854-4609,http://dining.columbia.edu/,1 Star Certified Green Restaurant
62,Ancolie,58 West 8th Street,New York,NY,10003,,http://www.ancolie.co,4 Star Certified Green Restaurant
63,TerraVe at Purchase College,735 Anderson Hill Road,Purchase,NY,10577,914-251-6000,www.dineoncampus.com/purchase,1 Star Certified Green Restaurant
64,Juice Generation,245 Bleecker Street,New York,NY,10014,212-531-1110,http://www.juicegeneration.com/,3 Star Certified Green Restaurant
65,Healthy Living Cafe at American Express,200 Vesey Street,New York,NY,10285,,,2 Star Certified Green Restaurant
66,Catering at American Express,200 Vesey Street,New York,NY,10285,,,2 Star Certified Green Restaurant
67,EF Academy,582 Columbus Avenue,Thornwood,NY,10594,914-495-6028,https://www.ef.edu/academy/campuses/new-york/,1 Star Certified Green Restaurant
68,Poly Prep Country Day School,9216 Seventh Avenue,Brooklyn,NY,11228,,,1 Star Certified Green Restaurant
69,Juice Generation,1407 Broadway,New York,NY,,212-531-1110,https://www.juicegeneration.com/,1 Star Certified Green Restaurant
70,SUNY Purchase Starbucks,735 Anderson Hill Road,Purchase,NY,10577,,,1 Star Certified Green Restaurant
71,Barcade St. Mark's,6 St. Marks Place,New York,NY,10003,,barcadestmarks.com,3 Star Certified Green Restaurant
72,Comcast Center-Ralph's Cafe on 43 & 44,1701 JFK Boulevard,Philadelphia,NY,10573,,,2 Star Certified Green Restaurant
73,Barcade New York,148 West 24th Street,New York,NY,10001,212-390-8455,barcadenewyork.com/,3 Star Certified Green Restaurant
74,Juice Generation Astor Place,4 Astor Place,New York,NY,,212-531-1110,https://www.juicegeneration.com/locations/astor-place,1 Star Certified Green Restaurant
75,Wing Tips Lounge,JFK International Airport,Jamaica,NY,11430,,,1 Star Certified Green Restaurant
76,North End Retail,3399 North Road,Poughkeepsie,NY,12601,,,2 Star Certified Green Restaurant
77,Arooga's Rockville Center,47 North Village Avenue,Rockville CEnter,NY,11570,516 744 9464,http://www.aroogas.com/content/aroogas-rockville,1 Star Certified Green Restaurant
78,The River Cafe,3500 Sunrise Hwy - Ste 100,Great River,NY,11739-,6312414290,,1 Star Certified Green Restaurant
79,Bloomberg Cafeteria,100 Business Park Drive,Skillman,NJ,8558,609-267-3017,,2 Star Certified Green Restaurant
80,Ernst & Young Secaucus,200 Plaza Drive,Secaucus,NJ,7094,   ,,2 Star Certified Green Restaurant
81,Goldman Sachs 30H,30 Hudson Street,Jersey City,NJ,7302, ,,3 Star Certified Green Restaurant
82,Town Square Cafe at Wyndham Worldwide,22 Sylvan Drive,Parsippany,NJ,7054,973-753-6811,,4 Star Certified Green Restaurant
83,Bloomberg Cafeteria,431 Ridge Road,Dayton,NJ,8810, ,,2 Star Certified Green Restaurant
84,Gill St. Bernard's School,25 Bernards Road,Gladstone,NJ,7934,908-234-1611,www.gsbschool.org,2 Star Certified Green Restaurant
85,Princeton Day School,650 The Great Road,Princeton,NJ,8542,609-924-6700 ,www.pds.org,4 Star Certified Green Restaurant
86,Dwight Englewood,315 East Palisade Ave,Englewood,NJ,7632,201-569-9500,www.d-e.org,2 Star Certified Green Restaurant
87,Sterling Affair Catering & Events,100 Commerce Road,Carlstadt,NJ,7072,201-372-0734,www.Sterlingaffair.com,2 Star Certified Green Restaurant
88,&Grain,700 North Avenue,Garwood,NJ,7027,908-232-2233,http://www.andgrain.com/,3 Star Certified Green Restaurant
89,MCVTS Perth Amboy,457 High Street,Perth Amboy,NJ,8861,,http://www.mcvts.net/Domain/15,3 Star Certified Green Restaurant
90,The Farm Barn Cafe,1112 Dukes Parkway West,Hillsborough,NJ,8844,908-243-3644,http://dukefarms.org/en/visit/cafe,4 Star Certified Green Restaurant
91,Rockefeller Mathey at Princeton University,University Place,Princeton,NJ,8540,609-258-6097,https://www.princeton.edu/us/dining/residential/locate/rm/,1 Star Certified Green Restaurant
92,Forbes College at Princeton University,Alexander Street,Princeton,NJ,8540,609-258-6097,https://www.princeton.edu/us/dining/residential/locate/forbes/,3 Star Certified Green Restaurant
93,"Samsung Electronics America, Inc. 85 Challenger Rd., NJ",85 Challenger Road,Ridgefield Park,NJ,7660,,http://eurestdining.compass-usa.com/samsung/pages/cafehourscontacts.aspx,1 Star Certified Green Restaurant
94,Arooga's Route 22 NP,1250 Route 22 East,North Plainfield,NJ,7060,,http://www.aroogas.com/content/aroogas-rt-22-np,1 Star Certified Green Restaurant
95,Raider's Cafe,21 Sutton Lane,Piscataway,NJ,8854,,www.mcvts.net,1 Star Certified Green Restaurant
96,Arooga's Route 18,"1031 Route 18, Unit 1",East Brunswick,NJ,8816,,,1 Star Certified Green Restaurant
97,Egner Lodge at the Princeton-Blairstown Center,158 Millbrook Road,Blairstown,NJ,7825,,,3 Star Certified Green Restaurant
98,Saddle River Cafe,171 East Saddle River Road,Saddle River,NJ,7458,,saddlerivercafe.com,1 Star Certified Green Restaurant
99,Barcade Jersey City,163 Newark Avenue,Jersey City,NJ,7302,201-332-4555,https://barcadejerseycity.com/,3 Star Certified Green Restaurant
100,Barcade Newark,494 Broad Street,Newark,NJ,7102,973-351-4644,https://barcadenewark.com/,2 Star Certified Green Restaurant
101,Boxcar Cantina,44 Old Field Point Rd.,Greenwich,CT,6830,203-661-4774,www.boxcarcantina.com,2 Star Certified Green Restaurant
102,Ballo,1 Mohegan Sun Blvd,Uncasville,CT,6382, 860-862-1100,www.balloitalian.com,3 Star Certified Green Restaurant
103,A Thyme to Cook,426 NW Corner Rd,N. Stonington,CT,6359,860-887-5932,http://www.athymetocook.com/,3 Star Certified Green Restaurant
104,Buckley Dining Hall at University of Connecticut,1276 Storrs Road,Storrs,CT,6269,860-486-2000,www.Uconn.edu,3 Star Certified Green Restaurant
105,The Bistro at Trinity College,120 Vernon St,Hartford,CT,6106,860-918-0985,,3 Star Certified Green Restaurant
106,Greenwich Academy,200 North Maple Avenue,Greenwich,CT,6830,203-625-8900,http://www.greenwichacademy.org/,2 Star Certified Green Restaurant
107,Aroogas Route 32,32 Sandy Desert Road,Uncasville,CT,6382,860-862-6386,http://www.aroogas.com/content/aroogas-route-32,1 Star Certified Green Restaurant
108,Wooster School,91 Miry Brook Road,Danbury,CT,6810,203-830-3900,www.woosterschool.org,2 Star Certified Green Restaurant
109,Whitney Dining at University of Connecticut,1346 Storrs Road,Storrs,CT,6269,860-486-2000,www.Uconn.edu,3 Star Certified Green Restaurant
110,Gelfenbien Commons at University of Connecticut,3384 Towers Loop Road,Storrs,CT,6269,860-486-2000,www.Uconn.edu,3 Star Certified Green Restaurant
111,Putnam Refectory at University of Connecticut,3384 Towers Loop Road,Storrs,CT,6269,860-486-2000,www.Uconn.edu,4 Star Certified Green Restaurant
112,Rome Commons at South at University of Connecticut,3384 Towers Loop Road,Storrs,CT,6269,860-486-2000,www.Uconn.edu,3 Star Certified Green Restaurant
113,McMahon Dining at University of Connecticut ,2011 Hillside Road,Storrs,CT,6269,,,3 Star Certified Green Restaurant
114,North Campus Dining at University of Connecticut ,82 N. Eagleville Road,Storrs,CT,6269,,,3 Star Certified Green Restaurant
115,Northwest Marketplace at University of Connecticut,110 N. Eagleville Road,Storrs,CT,6269,,,3 Star Certified Green Restaurant
116,One State Street Cafe,One State Street,Hartford,CT,6103,	860-722-5359,	www.onestatestreetcafe.com	,3 Star Certified Green Restaurant
117,Arooga's Shelton,405 Bridgeport Avenue,Shelton,CT,,,,1 Star Certified Green Restaurant
118,Seasonal Catering,500 Bic Drive,Milford,CT,6460,2037127638,www.SeasonalCatering.net,1 Star Certified Green Restaurant
